record_id,stock_code,stock_name,asof_date,cluster_id,cluster_distance
42e03807a2454c68fd9dcd8f,000524.SZ,岭南控股,2024-06-30,1,0.9803470969200134
b1503072d008f2f9bb67ab6f,000525.SZ,红太阳,2024-06-15,3,0.9489657282829285
b022e24215aa361548c3f16e,000526.SZ,学大教育,2024-06-30,1,0.9310535788536072
0925266662bd88a988d8669f,000528.SZ,柳工,2024-06-30,2,1.0185073614120483
2b88de4e000d2b618de0bb9d,000529.SZ,广弘控股,2024-06-30,3,0.9623187780380249
ba1cf2f34931c4e1b20dc451,000530.SZ,冰山冷热,2024-06-15,2,1.0197471380233765
41236f7f9090ee15486027a3,000531.SZ,穗恒运Ａ,2024-06-30,1,0.9710758328437805
7da1db71c41accef5fb68e07,000532.SZ,华金资本,2024-06-30,1,0.9798029661178589
d6a5fbc3ef855a8d4a21a685,000533.SZ,顺钠股份,2024-06-15,0,0.8098462224006653
0bec57bd113793c762e252de,000534.SZ,万泽股份,2024-06-30,2,0.958784818649292
436fd30a621304bbea35640b,000536.SZ,华映科技,2024-06-30,4,0.8938324451446533
e46638390c5c371c3a7871aa,000537.SZ,绿发电力,2024-06-15,1,0.9766944646835327
796f38b07f19adfbf3a03bf0,000538.SZ,云南白药,2024-06-15,3,0.972515344619751
8f0cfb46b16c2bb54089a989,000539.SZ,粤电力Ａ,2024-06-30,1,0.9545942544937134
cadb5e79bc4fdb1b243a0779,000541.SZ,佛山照明,2024-06-30,4,0.9920440316200256
536f4cad91ae284b072130f8,000543.SZ,皖能电力,2024-06-30,1,0.9538660645484924
521f6b89d914f4c88733b183,000544.SZ,中原环保,2024-06-30,1,0.9218084812164307
83ffc66f5c6f108bc223b70e,000545.SZ,金浦钛业,2024-06-15,2,0.9119971990585327
cd3798929d3b6afd93015b85,000546.SZ,金圆股份,2024-06-30,2,0.9887193441390991
e35cba1c953108fe8605c934,000547.SZ,航天发展,2024-06-15,1,1.014232873916626
2eeb90c1501447a235258793,000548.SZ,湖南投资,2024-06-15,1,0.9556161165237427
18cde3367b159f56e1526d24,000550.SZ,江铃汽车,2024-06-15,1,1.0086461305618286
501074286c5da9c1151ac4ad,000551.SZ,创元科技,2024-06-30,4,0.8488188982009888
3f8f4eac5404506ab0698ab6,000552.SZ,甘肃能化,2024-06-15,1,1.0055896043777466
fc63d00a29f9d676fbcb0212,000553.SZ,安道麦A,2024-06-15,3,0.9565483927726746
b71dc35a80c7eb91fccbe315,000554.SZ,泰山石油,2024-06-15,1,1.0020332336425781
625f5b1d78623f8ebd7d6bf5,000555.SZ,神州信息,2024-06-15,1,0.8910506367683411
e2281f1882dade5529480dd2,000557.SZ,西部创业,2024-06-30,1,1.004278540611267
77af31ae1bf55fbc2e1558ac,000558.SZ,天府文旅,2024-06-15,1,0.9609829187393188
a510ce79ed51356cadf90302,000559.SZ,万向钱潮,2024-06-15,4,0.8616805076599121
89580f70c6b6188fd8518945,000560.SZ,我爱我家,2024-06-30,1,0.9767375588417053
d5e6e449f594fa026123b8f8,000561.SZ,烽火电子,2024-06-30,1,1.0204740762710571
d698ead407f1ab302048b650,000563.SZ,陕国投Ａ,2024-06-30,1,0.9588178992271423
061f6b1e0741bf5bd66a3d6e,000564.SZ,供销大集,2024-06-30,1,0.9517122507095337
987d0d443d744dcc5e3e0186,000565.SZ,渝三峡Ａ,2024-06-30,2,0.9599028825759888
7373f92bdc3c3d36c94f93f3,000566.SZ,海南海药,2024-06-30,3,0.904536783695221
8db6e892848b40415fa95478,000567.SZ,海德股份,2024-06-30,1,0.9807992577552795
460bcbb32ccabb6a5c831fa6,000568.SZ,泸州老窖,2024-06-15,1,0.9957197308540344
600e5c856be007d7243593c9,000570.SZ,苏常柴Ａ,2024-06-15,2,1.0267248153686523
a4deb84c78205a349f4d0b9c,000571.SZ,新大洲A,2024-06-30,2,1.0273383855819702
2e5763d1e872ada9690a9f0b,000572.SZ,海马汽车,2024-06-30,1,1.0021958351135254
0623e5455d91217d4fd37865,000573.SZ,粤宏远Ａ,2024-06-30,5,0.7002701759338379
2fb8a8ba90cc6085aa014b78,000576.SZ,甘化科工,2024-06-30,0,0.925134539604187
00f35ed8684c18b98abb785a,000581.SZ,威孚高科,2024-06-30,4,0.8446969389915466
3f01635f31432b8416111bc0,000582.SZ,北部湾港,2024-06-30,1,0.9860298037528992
5f755af0583fc9d5de55d1bb,000586.SZ,汇源通信,2024-06-15,1,0.9138089418411255
9d883f3967cf69f85c21df36,000589.SZ,贵州轮胎,2024-06-15,2,0.9838356971740723
a4595703884715e9f6b498df,000590.SZ,古汉医药,2024-06-30,3,1.0337568521499634
ed741f70572f2aebe3c12441,000591.SZ,太阳能,2024-06-15,1,0.9824779033660889
c48c02cf131767b1dd7db832,000592.SZ,平潭发展,2024-06-30,1,1.014172077178955
2655576ff4fb8cff26e64a48,000593.SZ,德龙汇能,2024-06-15,1,1.0163936614990234
a304446df7a4406104376465,000595.SZ,*ST宝实,2024-06-30,1,1.043123722076416
3378224440f6603dce00ed0f,000596.SZ,古井贡酒,2024-06-30,1,1.000518798828125
b7834e1f533ae2c05610cbd1,000597.SZ,东北制药,2024-06-30,3,0.8597794771194458
20313c05097df3ab46685fe8,000598.SZ,兴蓉环境,2024-06-30,1,0.9716554284095764
65ddf0737698e7737c7e2163,000599.SZ,青岛双星,2024-06-15,2,0.9776932001113892
748cd834a9f59b747d740df5,000600.SZ,建投能源,2024-06-15,1,0.9647367000579834
a875985a5dda30248ddb1a05,000601.SZ,韶能股份,2024-06-30,2,0.9936070442199707
4f60ffd1bc0d44fa2bc7629f,000603.SZ,盛达资源,2024-06-30,2,1.005137324333191
f4950e5a58a673fc2a023e6b,000605.SZ,渤海股份,2024-06-15,1,0.9612118601799011
757141893b52330eace2f9b8,000607.SZ,华媒控股,2024-06-30,1,0.9182069301605225
d887cc483615f29ffc78590a,000608.SZ,*ST阳光,2024-06-30,5,0.9160870313644409
80b9b4d14542781cd7c8eb6a,000609.SZ,ST中迪,2024-06-30,5,0.5700780153274536
bfa9f5fc0f1c4e570d46fcc1,000610.SZ,西安旅游,2024-06-15,1,0.9814034700393677
d9cd7080360af23b04b0a98c,000612.SZ,焦作万方,2024-06-30,2,0.9642303586006165
767c239702b24b9bcf1dc546,000615.SZ,*ST美谷,2024-03-15,3,0.9001819491386414
95bf45af877f6bbafd582bb1,000617.SZ,中油资本,2024-06-30,1,0.9751458764076233
3a095470d02ec8b76123f1c5,000619.SZ,海螺新材,2024-06-30,2,0.9583991765975952
6fc4fef1fb5dfc78637cbcb4,000620.SZ,盈新发展,2024-06-15,1,1.0029336214065552
98f7332f1760d4945cdc4602,000623.SZ,吉林敖东,2024-06-30,3,0.9118671417236328
08a4c768f5aa4eb6ce918534,000625.SZ,长安汽车,2024-06-30,1,1.0017622709274292
c300bb643896e706ae07625c,000626.SZ,远大控股,2024-06-30,1,0.9994401335716248
dc52b2c8f3bb088a17ebf94f,000628.SZ,高新发展,2024-06-30,1,0.9960899353027344
2f4fffabc1e8bea9de7be6ce,000629.SZ,钒钛股份,2024-06-30,2,0.9429136514663696
3e3ebe7d179e618886450003,000630.SZ,铜陵有色,2024-06-15,2,0.9900396466255188
2eabd47378ef80d0742ab70a,000631.SZ,顺发恒能,2024-06-30,1,0.975621223449707
da2b5fca174f374fd580edad,000632.SZ,三木集团,2024-06-15,1,0.9915487170219421
4d1547a96492c38cd456b744,000633.SZ,合金投资,2024-06-15,2,0.966070294380188
